epoch,lr,time,loss
0,0.001,13:44:41,3.0110696501591625
1,8.5e-06,13:44:51,2.2231093960649826
2,1.7e-05,13:45:02,1.5703891480670256
3,2.55e-05,13:45:14,1.1300648284309052
4,3.4e-05,13:45:25,0.998978943509214
5,4.2499999999999996e-05,13:45:38,0.933729552609079
6,5.1e-05,13:45:50,0.8766516839318416
7,5.9499999999999996e-05,13:46:02,0.820979055674637
8,6.8e-05,13:46:13,0.7582054543582832
9,7.65e-05,13:46:25,0.6923079376711565
10,8.499999999999999e-05,13:46:36,0.6476597748696804
11,9.35e-05,13:46:47,0.5992460459032479
12,0.000102,13:46:58,0.5616113420794991
13,0.00011049999999999999,13:47:10,0.5334268183830906
14,0.00011899999999999999,13:47:21,0.5024421567864278
15,0.00012749999999999998,13:47:31,0.4742204010048333
16,0.000136,13:47:42,0.4473327266819337
17,0.0001445,13:47:54,0.43072980949107337
